question,answer
Can I apply to extend my leave to study?,No
Is this a cultural good?,No
Can Educational and Career Counseling help me?,Yes
Can Tax Credit Office ask me to provide details of the day-to-day running of my business?,Irrelevant
Can I be on motorways or slip roads?,Are you a pedestrian?
Have I contributed through my National Insurance contributions?,Yes
Do I pay tax on this dividends?,Irrelevant
Can I use the loan for this expense?,Yes
Can I charge VAT?,No
Can I apply for Tier 4 student visa for this course?,Is it a part-time leading to a qualification that’s at least level 7 on the Ofqual register
Can it be paid to my dependent?,No
Does the SBA loan meet my needs?,Are you in declared disaster area?
Can my Business use Centrepay?,No
Am I eligible for EIDL?,Irrelevant
Do I qualify for this benefit program?,No
Can I take paternity leave?,Yes
Am I entitled to the National Minimum Wage?,Are you a company director?
Can this benefit reduced or stopped?,Is it bereavement payment?
Can I be on motorways or slip roads?,Yes
Do I need to contact the office?,Irrelevant
Can the VA help me with this purchase?,Are you disabled?
Can Educational and Career Counseling help me?,Yes
Is this land eligible for agricultural easements?,No
Can I inherit my spouse’s Additional State Pension?,Yes
Can I apply for a discount?,Yes
Can I use the loan for this expense?,Yes
Could I get Cold Weather Payments?,Do you get income-related Employment and Support Allowance
Can Educational and Career Counseling help me?,No
Can I claim and deal with tax credits for this person?,Yes
Can I export this product to North Korea?,Is your product caviar or a caviar substitute?
Do I qualify for this benefit program?,No
Can my State Pension be reduced?,We you ordered to share your Additional State Pension with your partner?
Can I be a designated provider for this person?,No
Do I qualify for relief for most of the time I live away,Did you live in the home as your only or main residence at some point while you owned it
Does this program provide debt financing?,Irrelevant
Have I contributed through my National Insurance contributions?,Yes
Can I export this product to North Korea?,Are you exporting a pure bred horse?
Can my partner and I claim working tax credit?,No
Do I have authority to lodge data for file upload?,Yes
Can I apply for a discount?,No
Can I access the Aged Care Online Services in my browser?,Is your browser Internet Explorer?
Am I considered Veteran?,No
Can I obtain an NADL?,Yes
Will I get the National Minimum Wage?,"Are you a a student doing work experience as part of a higher or further education course, of compulsory school age, a volunteer or doing voluntary work, or on a government or European programme?"
Can I claim Winter Fuel Payments?,Irrelevant
Can I claim bereavement benefits?,No
Is a collateral required?,Yes
Can I ge the full amount?,Is your course shorter than 30 weeks?
Am I entitled to the National Minimum Wage?,"Are you a worker on a government employment programme, such as the Work Programme?"
May I be able to get Working Tax Credi?,No
May I be able to get Working Tax Credi?,No
Can I use the market value of the property when working out my gain?,Yes
Am I eligible ?,No
Do I have the right to return to my job?,Has your parental leave been unpaid?
Am I allowed to authorize the use of marijuana?,No
Do I need to contact Debt Management Recovery From Estates?,Irrelevant
Can this benefit be reduced or stopped?,Yes
Can I get this Child Benefit?,Yes
Am I able to apply directly to my electricity supplier for help?,Yes
Can my Business use Centrepay?,Yes
Does the loan meet my needs?,Is the loan for working capital?
Can I apply for Tier 4 student visa for this course?,No
Can I ask for mandatory reconsideration now?,Yes
Am I eligible to enrol?,Yes
Is this a digital service?,No
Can I be classed as a worker?,No
Can I claim this expense?,Yes
May I be eligible for Maternity Allowance?,Can you get SMP?
Can I appoint a Child Support representative?,Yes
Have I logged out properly?,No
Can I make a new claim for Working Tax Credit?,Do you live in a Universal Credit area?
Am I self-employed?,No
Am I eligible for the SBA 7(a) program?,No
Can I be classed as a worker?,No
Have I contributed through my National Insurance contributions?,No
Can I get Crisis Payment?,Yes
Can I stop paying Class 1 National Insurance?,No
Is SBA suitable for me?,Irrelevant
Will I need to change the PIN each time?,Yes
Can I move livestock or poultry?,Yes
Can my Business use Centrepay?,No
Can I be considered as a licensed marijuana producer?,Do you follow the rules and guidelines set forth by the department in order to create compliant products?
Can I use Aged Care Online Claiming?,Yes
Do need to tell HM Revenue and Customs about this?,Yes
Is this airport manager performing all their duties?,No
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Can I send my appeal now?,Yes
Can I be a designated provider for this person?,No
Am I entitled to the National Minimum Wage?,No
Is this savings option suitable for me?,Yes
Can I be a designated provider for this person?,No
Can I get Cold Weather Payments?,Yes
Can I get Winter Fuel Payment?,Do you live in France?
Can I get Additional State Pension?,No
Can this benefit reduced or stopped?,Yes
Can openings be available to me?,No
Can my au pair be classified as a worker?,No
Do I need to tell you about social security agreements with other countries?,No
Can I charge VAT on this?,No
Can I apply for Working Tax Credit?,No
Can I qualify for Working Tax Credit?,No
Can I claim extra MBS items?,Are you providing a bulk billed service to a patient?
Can I apply to extend my leave to study?,Is your current sponsor a higher education institute (HEI)?
Does the loan meet my needs?,Is the loan for working capital?
Can I get Winter Fuel Payment?,No
Can my Business make use of Centrepay?,Have you obtained your customer’s consent?
Can Educational and Career Counseling help me?,No
Can I get Crisis Payment?,No
Can I export this product to North Korea?,"is it high quality clothes, clothing accessories and shoes"
Do I need to use TRACES to create a commercial document?,Yes
Can I get in-work Housing Benefit?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Yes
Am I eligible for this program?,Are you a US citizen?
Could the adult dependency increase I receive stop?,No
"Can I file bankruptcy under Chapter 9, 12 or 15?",Does it involve an international case?
Do I get Winter Fuel Payment automatically?,No
Can I get a CAS?,Yes
Do I need to carry on paying National Insurance?,Are you going to claim a state pension later?
Could I claim help for my childcare costs?,Yes
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,No
Can I get SMP?,No
Can I get the discount on my gas bill instead?,Yes
Do I need to pay UK tax on my pension?,Irrelevant
Can this program help me?,No
Can Educational and Career Counseling help me?,Do you want to address barriers that may impede success in training or employment?
Do I need a Home Office controlled drug licence to export this drug?,Yes
Can this program help me?,Are you a state?
Can I apply to bring a dependant to the UK?,No
Can I call Debt Management Recovery From Estates now?,No
Can I claim and deal with tax credits for this person?,Yes
Could I be considered as an employer?,No
Will deductions stop?,No
Can I use the Capital Gains Tax calculator?,Did you sell business premises or land?
Can I apply to bring a dependant to the UK?,Are you a new government-sponsored student?
Can I ge the full amount?,Do you have few expenses?
Am I eligible for the Parenting Payment?,No
Have I contributed through my National Insurance contributions?,No
Can I use the loan for this expense?,Will the loan be used for normal operating expenses?
Can this payment be stopped or reduced?,No
Can I apply for Working Tax Credit?,Yes
Do I qualify for this benefit program?,Are you at least 62 years old?
Is it my responsibility to contact the office in this situation?,Yes
Can I inherit my spouse’s Additional State Pension?,No
Can I apply to bring a dependant to the UK?,Are you a new government-sponsored student?
